ID,Time,Selected,BOD,City,State_Region,Country,Date_Leave_Country,Gender,Current_Situation,Type_of_Internet,Device_used,School_Name,Academic_career,Pre_Knowledge_Data,Course_Wish_Join,Dedicate_Learning_Time,Personal_Professional_Goals,Reason_Right_Person,Personal_Professional_Challenges,Others
mmdt2024.021,7/20/2024 4:39:50,Yes,1999,Kyaikkhame,Yangon,Myanmar,8/1/2025,Female,"Unemployed, Underemployed (low wage) or Intern (No salary), University Student (Private University), University student (who temporarily paused learning due to the poltical instability)","Home Wi-Fi, Mobile data","My own computer, Mobile Phone / Table",Strategy First University,Diploma Graduate,2.0,Data Scientist using Python,more than 5 hours/week,"I hope to achieve data science methodology and a continuous learning process. I accomplish my skills, advancing my career and personal growth effectively.",I am the right person to receive this scholarship because of my passion for learning and commitment to applying this knowledge to make a meaningful impact in my field.,"In 2022, I moved from my hometown to Yangon to search for a job in the IT field. Without a degree, it was initially challenging to find a position, but after three months of continuous searching, I secured a web developer intern position. After working as a frontend developer for about a year, I decided to pursue my interest in data science. I left my job to study data science and have been learning ever since. There are times when I question whether it was a mistake to leave my job, but I have not given up and am preparing to enter the data science field. This experience has taught me resilience, adaptability, and the importance of following one's passion.","I take action when facing challenges and always try to have an open mind. This makes me a strong candidate for this scholarship. Thank you so much for giving me this opportunity, teacher."
mmdt2024.022,7/20/2024 4:43:51,Yes,1992,Yangon,Yangon,Myanmar,1/1/2030,Male,Unemployed,"Home Wi-Fi, Mobile data",My own computer,Myanmar Maritime University (Graduated on 2014),Graduate (Degree holder),3.0,Data Analytics using R,3-5 hours/week,"Junior Data Analyst ကနေ Data Engineer အထိ သွားချင်တာပါ။ လောလောဆယ်တော့ ပြည်တွင်း Company တစ်ခုခုမှာ အလုပ်ရဖို့ ဦးစားပေး ကြိုးစား‌နေပြီး အခွင့်သာရင်၊ အတွေ့အကြုံတွေရလာရင်တော့ ပြည်ပအထိပါ ထွက်ချင်ပါတယ်ဗျ။

အခုက အလုပ်မရှိသေးတော့ (သင်တန်းဖိုးတွေလည်း အများကြီး မတတ်နိုင်သေးတော့) ဒီ Course က ရလာမဲ့ Certificate နဲ့ အသိပညာတွေက အလုပ်ရှာတဲ့ နေရာမှာ အထောက်အကူ ပြုဖို့မျှော်လင့်ပါတယ်။

သင်တန်းက ကိုယ်နဲ့ရည်ရွယ်ချက်ချင်းတူတဲ့ သူတွေနဲ့လည်း Career Network တိုးချဲ့သွားနိုင်ဖို့လည်း ရည်မှန်းထားပါတယ်။

အဓိက,က မှန်ကန်တဲ့ လမ်းကြောင်းတစ်ခုပေါ် ရောက်သွားချင်တာပါခင်ဗျ။","✓Commitment ကောင်းကောင်းနဲ့ ကြိုးစားပြမယ်လို့ ကတိပေးနိုင်ပါတယ်။

✓Self-study လည်း အားကောင်းတယ်လို့ ထင်ပါတယ်။ မသိတဲ့ Topic တွေဆို သက်ဆိုင်ရာ ပညာရပ် Website တွေမှာ ရှာပြီး ဖတ်‌နိုင်/ဖတ်လေ့ရှိပါတယ်။

✓English Reading Compression လည်း အတန်အသင့် ကောင်းတယ်လို့ ထင်ပါတယ်။

✓Coding ရေးရတာကိုလည်း passionate ဖြစ်ပါတယ်။

✓လုပ်ငန်းအတွေ့အကြုံကတော့ Company တစ်ခုမှာ Internal Auditor (For Stock Control) အနေနဲ့ လုပ်ခဲ့ဖူးပါတယ်။ အဲ့ဒီက စပြီးတော့ Data ပိုင်းကို စပြီး စိတ်ဝင်စားလာတယ်လို့ ပြောလို့ရပါတယ်။

✓ My Capabilities :
 1) Excel ကို Advanced Level ထိ သုံးနိုင်ပါတယ်။

 2) Google Suite, Microsoft Office သုံးတတ်ပါတယ်။ လောလောဆယ် Free Online School (NUG ကြားကာလ ပညာရေးကျောင်း)တစ်ခုမှာ
Maths PowerPoint Content တွေ၊ Google Form မေးခွန်းတွေ ပြင်ဆင်ပေး၊ Online Class Facilator အနေနဲ့ Volunteer လုပ်ပေးနေပါတယ်။

3) လတ်တလော Power BI+ SQL + Python ပေါင်းပြီးသင်တဲ့ Course တစ်ခုကိုတော့ တတ်နေပါတယ်။
Basic Python, PowerBI တွေကိုတော့ Free ရတဲ့ အတန်းလေးတွေ တက်ဖူးတာနဲ့ Self-study လုပ်ထားတာလေးတွေတော့ ရှိပါတယ်။","Challenge ကတော့ အသက်က ၃၀ ကျော်နေပေမဲ့ အတွေ့အကြုံ ကောင်းကောင်းမရှိတာလို့ ပြောရမှာပါပဲ။ MMU က ပြီးပေမဲ့ သင်္ဘောတက်ဖို့ကို စိတ်မဝင်စားတာကြောင့် အပြင်က Company မှာပဲ ဝင်လုပ်ဖြစ်ပါတယ်။ 

အတွေ့အကြုံကတော့ Company နှစ်ခုမှာပဲ လုပ်ဖူးပါတယ်။

တစ်ခုက Data Entry+Admin ပါ။ Company ရဲ့ Petty Cash စာရင်းနဲ့ Stock List +Price တွေ Daily Update Entry ပေးရတာပါ။ တစ်နှစ်ခွဲ လောက် လုပ်ဖြစ်ပါတယ်။ (Jan-2016 to May-2017)

နောက်တစ်ခုကတော့ အပေါ်ကပြောခဲ့တဲ့ Stock Internal Auditor ပါ။ တစ်နှစ် လုပ်ဖြစ်ပါတယ်။ (Jan-2018 to Feb-2019)

ကြားထဲမှာတော့ Yangon University of Economics, Dept of Statistics ကဖွင့်တဲ့ Master of Applied Statistics ကို လျှောက်ဖို့ ကြိုးစားပေမဲ့ ဝင်ခွင့်စာမေးပွဲကို မဖြေဖြစ်လိုက်ပါဘူး။

အဲ့ဒါပြီးတော့ ကြားထဲမှာ ဘာမှ မလုပ်ဖြစ်ပဲ အိမ်မှာပဲ ထိုင်စားသလိုတော့ ဖြစ်နေပါတယ်။ COVID မဖြစ်ခင် ၁/၂ နှစ်လောက်ကတော့ အစ်မဝမ်းကွဲရဲ့ Online Shop မှာ စာရင်း+Page Admin+ Delivery ကိစ္စ(ပစ္စည်းအပ်ပေး) ကူလုပ်ပေးပါတယ်။

အခုကတော့ စီးပွားရေး အခြေအနေအရ အပြင်အလုပ်ထွက်လုပ်မှ ဖြစ်တော့မှာမလို့ အလုပ်ရဖို့/ရှာဖို့ ကြိုးစားနေရတာပါခင်ဗျ။

ရွေးချယ်ပေးမယ်ဆိုရင်တော့ ကျေးဇူးအထူးတင်မှာပါခင်ဗျ။ ",...
mmdt2024.023,7/20/2024 5:00:24,Yes,1996,Yangon,Yangon,Myanmar,1/1/2030,Male ,Underemployed (low wage) or Intern (No salary),"Home Wi-Fi, Office/school Wi-Fi, Mobile data","My own computer, Mobile Phone / Table",University Of Computer Studies Yangon ,Graduate (Degree holder),2.0,Data Engineering ,3-5 hours/week,"My goal is to have a strong foundation in data science field at the end of this program.
Free access to this course can fullfill my goal to get a strong foundation and skills.","Because I am committed to complete the program and dedicated to learn regularly.
In addition, I am residing in Myanmar trying best during hard times with grit and determination to study.","During my professional career,I have to handle a project related with Data Engineering.Coz that is my first experience, I have faced many challenges. I am not familiar with the technology that I have to used and thanks to my colleagues that shared with me knowledge those times.With my grit and many efforts on learning and trying over and over again I successfully launched my project.I am too proud of this project for my efforts and determination.",
mmdt2024.024,7/20/2024 5:14:50,Yes,1987,Pyinmana ,Nay Pyi Taw,Myanmar,1/1/2030,Female ,"Unemployed, Women in Tech project (Women who became unemployed due to the political conflicts)","Home Wi-Fi, Mobile data","My own computer, Mobile Phone / Table",Kobe Institute of Computing (KIC),Graduate (Degree holder),3.0,Tableau,more than 5 hours/week,"
I am looking for a volunteer opportunity to work on data-related projects since I would like to utilize my prior degrees' knowledge and skills. Therefore, this ""Learn with Data Camp"" program is the perfect fit for my personal goals. 

After acquiring data-related domain knowledge and skills throughout this course, my professional goal is to work on real-time data projects and contribute my technical skills to Myanmar's educational and social development.   ","I would be the right person for this scholarship because I am constantly seeking for an opportunity to start my career in data analysis field. Moreover, during these years, I continuously learned and improved my skills in Python, SQL, and Machine Learning. ","Due to Myanmar's current political crisis, I am concerned not only about security, but also about working at IT companies that are now controlled by the military council. However, I try to overcome all challenges by focusing on new studies that will help me enhance my skills and knowledge.","Before 2021, I worked at the Ministry of Transport and Communications in Myanmar. I received a JDS scholarship in 2018 and completed my studies in 2020. Due to Myanmar's political crisis , I became unemployed as soon as I arrived from Japan. I hope this ""Learn with Data Camp"" program will assist me starting a new profession in life. "
mmdt2024.025,7/20/2024 5:22:17,Yes,1991,Yangon,Yangon,Myanmar,1/1/2030,Female,Women in Tech project (Women who became unemployed due to the political conflicts),Home Wi-Fi,My own computer,YTU,Graduate (Degree holder),3.0,Data Analytics using Python,3-5 hours/week,သမီးအရင်ကချယ့်တပည့်ဟောင်းဆရာမတယောက်ပါ။အခုတော့ယုံကြည်ရာတခုအတွက်အရင်အလုပ်ကိုလက်လွှတ်ပြီး2022မှာ STEAM Education ကိုလုပ်နေပါတယ်။ဒီလမ်းကြောင်းပေါ်လျောက်နေရင်းအခုသမီး5မှ16ကလေးတွေကို STEAM ရဲ့အပိုင်းအစတခုဖြစ်တဲ့ programming ကိုသင်နေပါတယ်။အသက်10နှစ်အထက်က‌‌ေလး‌ေတွကိုpython ကို‌သင်ကြားနေပါတယ်။ကလေးငယ်လေးတွေဆိုတော့သူတို့ကိုအခြေခံကနေ game လေးတွေ create လုပ်တဲ့ပုံစံလေးနဲ့သင်ပေးဖြစ်နေပါတယ်။သမီးက သူတို့လေးတွေ level upတဲ့အခါ dataနဲ့ချိတ်ဆက်တာလေးတွေကိုပါအ‌ခြေခံကျကျလေးပြောပြပေးချင်လို့ပါ။,သမီးရရှိလာမည့်ဗဟုသုတတွေကိုတခြားလိုအပ်သူများကိုပြန်လည်မျှဝေပေးချင်ပါတယ်,"ဒီကာလမှာတော့လူအကြောင်းတွေပိုသိရပြီးလောကဓံမျိုးစုံခံစားခဲ့ရပါတယ်။
အခုတော့သမီးကကိုတာဝန်ယူနိုင်တာကိုသေချာအလေးအနက်ထားတာဝန်ယူပြီးကိုယ့်ကိုကိုယုံကြည်တယ်ဆိုတဲ့စိတ်နဲ့သူတို့လာဖြိုချလဲ လဲမကျအောင်ရပ်တည်နေပါသေးတယ်။",Nothing special.
mmdt2024.026,7/20/2024 5:46:15,Yes,1990,Yangon,Yangon,Myanmar,1/1/2030,Female,"None of the above, Employer of Private University","Home Wi-Fi, Mobile data","My own computer, Mobile Phone / Table",Yangon Technological University,Graduate (Degree holder),3.0,Data Scientist using Python,more than 5 hours/week,"I hope to get fundamental data science skills, including Python programming, data manipulation, statistical analysis, and machine learning.
I think it will provide a solid foundation for further exploration and specialization within the field.","Due to my strong motivation, relevant background, demonstrated initiative and potential for impact.",I faced many challenges for learning the data science area.  Most of the challenges are overcoming by self-learning method. I enroll most of the online course such as Coursera and Udemy.,"I am a lecture from private university. By gaining this scholarship, I think I can share much knowledges to my students."
mmdt2024.027,7/20/2024 6:42:41,Yes,1993,Yangon,Yangon,Myanmar,1/1/2030,Female,Women in Tech project (Women who became unemployed due to the political conflicts),Home Wi-Fi,My own computer,BEHS-1 Tharkayta,Graduate (Degree holder),2.0,Associate Data Analyst in SQL,more than 5 hours/week,I am planning to change my career. I really hope to learn with this program and try to achieve my career goal. This course is the first step for data analytics and also the important part of changing my career journey.,I can commitment to learn and I am the one who value this scholarship.,"In our life, we have to overcame a lot of challenges. Some are small and some are big. whatever it is small or big, I use to overcome these challenges by using my knowledge, experiences, critical thinking and humanity.",I am the one who finding the person or program that can train me well.
mmdt2024.028,7/20/2024 6:59:37,Yes,1996,Mandalay ,Mandalay,Myanmar,1/1/2030,Male,University student (who temporarily paused learning due to the poltical instability),"Home Wi-Fi, A friend's Internet, Mobile data",My own computer,ShweBo Distance University ,Not Currently Enrolled,1.0,Data Analytics using Python,more than 5 hours/week,Data Analytics အပိုင်းမှာ အလုပ်စဝင်လုပ်နိုင်ပြီး လေ့လာသင်ယူမှုတွေကိုဆက်လုပ်သွားနိုင်ဖို့မျှော်မှန်းပါတယ်။,Career အပြောင်းအလဲလုပ်နိုင်ဖို့အတွက် Data Analytics အပိုင်းကို စိတ်ပါဝင်စားမှုရှိပြီး အမှန်တကယ် လိုက်ပါသင်ယူနိုင်မယ့်သူဖြစ်တဲ့အတွက်,၆ နှစ်ပြည့်တော့မယ့် သားတစ်ယောက်ရှိပါတယ်။ သားသားမှာ အမြင်အာရုံမှာ အဝေးမှုံလို့ မျက်မှန်တပ်ထားရတယ်၊ အကြားအာရုံမှာ စစ်ဆေးချက်အရ ပြသနာနည်းနည်းရှိနေလို့ ၃ လတစ်ခါ ဆရာဝန်နဲ့ပြန်စမ်းသပ်နေရတယ်၊ Behavior ကြမ်းတမ်းမှုရှိပြီး Developmental delay ဖြစ်နေတဲ့အပြင်၊ ဆီလမ်းကြောင်းလွဲနေလို့ Major Operation ပြုလုပ်ခွဲစိတ်ဖို့ရှိနေပါတယ်။ ဒီပြသနာမှာ Developmental Specialist ဆရာဝန်နဲ့ တစ်လတစ်ကြိမ် တွေ့ဆုံဆွေးနွေးပြီး ဆရာဝန်ရဲ့အကြံပြုလမ်းညွှန်ချက်တွေနဲ့ Behavior ပိုင်းနဲ့ Developmental delay အပိုင်းကိုဖြည်းဖြည်းချင်းပြုပြင်ယူနေတာမှာ ၆ လကျော်ခဲ့ပြီဖြစ်ပြီး တိုးတတ်မှုတွေရှိနေပါတယ်။ အမြင်အာရုံအတွက် မျက်မှန်တပ်ပေးတာ၊ မျက်စဉ်းခပ်ပေးတာ၊ မျက်စိအတွက်အထောက်အကူပြုမယ့် အစားအစာကို ကျွေးတာတွေနဲ့ ၆ လတစ်ကြိမ် မျက်စိအထူးကု ဆရာဝန်နဲ့ စမ်းသပ်စစ်ဆေးခြင်းတွေကို လုပ်ဆောင်နေပါတယ်။ အကြားအာရုံအတွက်က ကလေးကငယ်နေသေးတဲ့အတွက် ၃ တစ်ကြိမ်ပြန်လည်စမ်းသပ်ပြီး ဆရာဝန်ရဲ့ လမ်းညွှန်အကြံပြုချက်တွေနဲ့ လုပ်ဆောင်နေပါတယ်။ ဆီးလမ်းကြောင်းအတွက်က ကလေးခွဲစိတ်ဆရာဝန်၊ ဆီးလမ်းကြောင်းအထူးကု ဆရာဝန်တွေနဲ့ ၆ လတစ်ကြိမ်တွေ့ဆုံစမ်းသပ်ပြီး ခွဲစိတ်လို့ရတဲ့အခြေအနေကိုရောက်ရင် ချက်ခြင်းခွဲစိတ်ဖို့အတွက် တစ်လဝင်ငွေကနေ ပိုက်ဆံစုနေပါတယ်။ ဒီစိန်ခေါ်မှုတွေက ဒီလိုအခြေအနေမျိုးမှာ ရင်ဆိုင်နေရတာ ဖြစ်တဲ့အတွက် ဒီဟာက အရမ်းကြီးမားတဲ့စိန်ခေါ်မှုတွေဖြစ်ပါတယ်။,ဆယ်တန်းဖြေပြီးချိန် ၂၀၁၂ မှာ အလုပ်စလုပ်ခဲ့ပါတယ်။ အဝေးသင်တတ်ရောက်နေပေမယ့် ကြားထဲမှာ အကြောင်းအမျိုးမျိုးကြောင့် စာမေးပွဲမဖြေခဲ့ရတာတွေနဲ့ကြောင့် နောက်ဆုံးနှစ်တတ်ရောက်ရမယ့် နှစ်မှာ ကိုဗစ်စဖြစ်ပြီးနောက် လက်ရှိအချိန်အထိ ကျောင်းနားထားရပါတယ်။ ၂၀၁၄ ခုနှစ်မှာ အရောင်းပိုင်းမှာ စတင်ဝင်ရောက်ခဲ့ပြီး Senior အကိုရဲ့ သင်ပြပေးပြီး လက်တွဲခေါ်မှုကြောင့် အချိန်တိုအတွင်းမှာ Team Leader အနေနဲ့ ရာထူးတိုးရပါတယ်။ ၂၀၁၄ ကစပြီး အရောင်းပိုင်းမှာပဲ အလုပ်လုပ်ကိုင်နေပြီး ၂၀၁၉ ခုနှစ်မှာ Supervisor ရာထူးကိုစတင်ရောက်ရှိလာခဲ့ပါတယ်။ ၂၀၂၁ အစအထိ သင်ယူလေ့လာလုပ်ကိုင်ရင်း အလုပ်အဆင်ပြေနေခဲ့ပေမယ့်အခြေအနေတွေကြောင့် အလုပ်မတွင်တော့လို့ အလုပ်ပြောင်းခဲ့ရပြီး ပြောင်းလိုက်တဲ့အလုပ်ကလဲ စားသုံးဆီကုမ္ပဏီဖြစ်နေခဲ့တော့ အစပိုင်းမှာအဆင်ပြေနေခဲ့ပေမယ့် ၂၀၂၃ နှစ်လယ်ပိုင်းမှာ အချိုးအခြေအနေတွေကြောင့် တာဝန်ထမ်းဆောင်နေတဲ့ ရုံးခွဲပိတ်သိမ်းခဲ့ရပြန်ပါတယ်။ အကိုတစ်ယောက်ရဲ့အကူအညီကြောင့် တိုင်းရင်း‌ဆေး ဖြန့်ချိရေးအလုပ်တစ်ခုကို လုပ်ခွင့်ရနေတာ ၁ နှစ်ကျော်ရှိလာခဲ့ပြီးတော့ တိုင်းရင်းဆေး အဓိကသုံးကြတဲ့ နေရာဒေသတွေရဲ့ နယ်မြေမတည်ငြိမ်မှုတွေ များလာခဲ့တာကြောင့် အရောင်းအဝယ်မှာ နည်းလာနေပါတယ်။ အရောင်းနဲ့ဖြန့်ချိရေး လုပ်ငန်းလမ်းကြောင်းမှာ နယ်မြေမတည်ငြိမ်မှုတွေများလာပြီး အရောင်းသွားရောက်နေတဲ့ နယ်မြေကျဉ်းမြောင်းလာနေခြင်းကြောင့် Career ပြောင်းလဲဖို့စဉ်းစားနေတဲ့အချိန်မှာ ဆရာဝေလင်းရဲ့ Beginner Statistics For Data Analytics ခေါင်းစဉ်နဲ့မျှဝေမှုတွေကို ဖတ်မိပြီး စိတ်ဝင်စားခဲ့ပါတယ်။ သင်တန်းတွေတတ်ရောက်ဖို့မှာလဲ ငွေကြေးစိန်ခေါ်မှုရှိနေပြီး Self Study လုပ်ဖို့ လေ့လာနေတာမှာလဲ နယ်ပယ်အစိမ်းသက်သက်ဖြစ်နေတော့ အခက်အခဲဖြစ်‌နေတဲ့အချိန်မှာ Dr. Myo Thida ရဲ့ Post ကိုတွေ့ရှိခဲ့တာဖြစ်ပါတယ်။
mmdt2024.029,7/20/2024 11:28:55,Yes,1980,Chiang Mai,Others,Outside Myanmar,4/12/2022,Female,Refugee due to the current Political Situation,Home Wi-Fi,My own computer,UTCC (University of the Thai Chamber of Commerce),Graduate (Degree holder),3.0,Associate Data Analyst in SQL,3-5 hours/week,"Actually I'm working as a data analyst for Ministry of Human Rights since October, 2022. But this is the first experience for data analysis skill for me. I read some research papers and some technology's books and this was the hardest days in my life. I've known that the analysis is very important for the reliable fields. People should know the important role of data analyst. Not only Human Rights field, but also in business field, medical field and other relevant field with many forms. If all data were well structured, we can easily managed with by software (like python, SQL). This course can help me to accomplish my data analyst dream. Moreover, I would like to analyze the business field and this can help for my professional goal. ","I've got the IT background and moreover, I completed in WiT (Women in Technology) workshop series. These are the basic step for this scholarship and I can commit that I use these outputs in my career. ","When I changed my carrier to Data Analyst, I need to read some facts and do some exercises with online group and some coursera course. I faced budget challenge but I can overcome this situation with scholarship program from Burma Academy and WiT workshop. ",I always obey my commitment. 
mmdt2024.030,7/20/2024 11:54:39,Yes,1995,Yangon,Yangon,Myanmar,1/1/2030,Female,Underemployed (low wage) or Intern (No salary),"Home Wi-Fi, Mobile data","My own computer, Mobile Phone / Table",University of Technology (Yatanarpon Cyber City),Graduate (Degree holder),1.0,Data Scientist using Python,more than 5 hours/week,"l would like to work as a skillful data scientist. I hope this course wil help me to develop my knowledge, skills and ready to work as a data scientist.
","I am very fanatic to data science and my income doesn't allow me to learn paid courses for every skills that needs to become data scientist. And also I would like to learn about my beloved career from my inspired person.
",,"Yes, I am a production engineer from one of manufacturing company in Myanmar. After graduation, unexpectedly i entered into manufacturing field and i worked about 4 years. As everyone knows, production field is very tired and gain no skills to work another company. I had experience but could not use this experience at another company because there is very few similar company around the world.  Everytime i inspire people who works with their skills to everywhere of this world. I mean their skillset is global. So i would to like to become one of them. I want to use my data professional skills for my career and want to work as a remote, freelance data professional.This is my dream and now trying to change my career to data although work and life balance is so tight."
mmdt2024.031,7/21/2024 0:01:37,waiting list ,1981,Kitchener,Others,Outside Myanmar,9/2/2022,Female,"Unemployed, Women in Tech project (Women who became unemployed due to the political conflicts)","A friend's Internet, Mobile data",A borrowed / shared computer,National University of Singapore,Graduate (Degree holder),2.0,Data Analytics using Python,more than 5 hours/week,"Personal Goals:
-I aim to develop a strong foundation in data analysis, focusing on tools and techniques that will allow me to analyze and interpret data effectively.

-I plan to obtain certifications in data analysis to validate my skills and knowledge, which will make me more competitive in the job market.

-I want to broaden my understanding of data science and analytics, which will allow me to apply these skills in various contexts and industries.

Professional Goals:
-My primary goal is to secure a job in data analysis.

-I aim to transition from my engineering and project management expertise into data-driven roles such as Data Analyst or Data Project Manager.

How free access to this course will help?
-Free access to a structured course will provide a comprehensive curriculum, ensuring that I systematically learn all essential aspects of data analysis.

-As I am currently unemployed, free access to this course will allow me to upskill without financial burden, making it easier to focus on learning.

-The ability to spend 10-12 hours a week on the course fits well with my current schedule, allowing me to balance learning with other responsibilities.

-The course may provide access to a community of learners and professionals, which can be valuable for networking, mentorship, and job opportunities.

By the end of this program, I hope to have developed a robust set of data analysis skills, obtained relevant certifications, and secured a position in a data-driven role. Free access to this course will be instrumental in achieving these goals, providing me with the necessary knowledge, practical experience, and flexibility to learn effectively while being cost-effective during my period of unemployment.","-With over 15 years of experience in Engineering, specializing in Data Centre IoT software solutions, I have a solid technical background that will allow me to grasp and apply data analysis concepts quickly.

-Currently unemployed, I have the flexibility to dedicate 10-12 hours a week to this course, ensuring that I can fully engage with the material and complete the program successfully.

-My primary goal is to transition from my current expertise in engineering project management to a career in data analysis. This scholarship is crucial in achieving this goal, providing me with the skills and knowledge necessary for the transition.

-I aim to secure a job in data analysis, enhancing my career prospects.

-As I am currently unemployed, financial constraints make it challenging to invest in further education. This scholarship will provide the necessary financial support to upskill without the burden of course fees.

- Throughout my career, I have demonstrated a strong work ethic, dedication, and the ability to achieve significant milestones. I will bring the same commitment and determination to this course.

-My commitment extends beyond advancing my career. I am dedicated to giving back to the community by mentoring others and sharing the knowledge I gain through this scholarship.

I am the right person to receive this scholarship because of my strong technical background, commitment to continuous learning, clear career goals, potential for impact, financial need, and dedication to success. This scholarship will allow me to upskill in data analysis, ultimately helping me achieve my career goals and contribute meaningfully to the field.","Personal Challenge
The Myanmar military coup forced me to migrate to a new country, leaving behind my home and my role in leading a local group supporting the CDM and the PDF. This abrupt transition was not only emotionally challenging but also meant that I was unable to return to Myanmar and had to migrate to a country where I was not initially planning to stay long-term.

Professional Challenge
Securing an engineering job was difficult after working as a project manager for seven years. The job market was challenging, and my skills needed to be updated to match the current demands. I realized that I needed to upskill to increase my employability.

How I Overcame It
-I focused on staying resilient and adaptable in the face of such significant upheaval. 

-Accepting the reality of my situation helped me start thinking about practical steps I needed to take to establish a new life in the new country.

-Even from abroad, I supported the CDM and PDF through online and remote coordination, ensuring I could still contribute to the cause I deeply cared about.

-I used this period as an opportunity for personal growth. 

-I conducted a thorough self-assessment to identify my skills gaps and understand the current trends and demands in the engineering and technology job market.

Both personal and professional challenges have tested my resilience, adaptability, and commitment to growth. Migrating due to the Myanmar military coup required immense personal strength and the ability to adapt to a new environment. Professionally, the difficulty in finding a job after being a project manager for seven years pushed me to upskill and remain persistent in my job search. These experiences have strengthened my resolve and prepared me for future challenges, making me a strong candidate for opportunities that require adaptability, continuous learning, and leadership.

I trust that this information will be kept confidential and not shared with others.","I am committed to lifelong learning and professional development. I am also preparing to invest 10-12 hours a week to learn data analysis, demonstrating my proactive approach to upskilling. I believe in empowering individuals and fostering a collaborative environment where everyone can excel. 

Despite the challenges I faced due to the Myanmar military coup, I continued to support the CDM and the PDF remotely. This experience reflects my commitment to positively impacting and supporting the causes I believe in.

I have a clear vision for my career, aiming to transition into data analysis and secure a role where I can leverage my technical skills and project management expertise. This scholarship and the opportunity to upskill in data analysis are integral to achieving these goals.

My diverse technical background, commitment to continuous learning, and ability to adapt to new challenges make me a strong candidate for this scholarship. I am passionate about driving innovation and making a positive impact through my work. With the support of this scholarship, I can achieve my career goals and contribute meaningfully to the field of data analysis and beyond."
mmdt2024.032,7/20/2024 14:57:12,Yes,2003,Kyaukpadaung ,Mandalay,Myanmar,1/1/2030,Female ,"Underemployed (low wage) or Intern (No salary), University student (who temporarily paused learning due to the poltical instability)","Home Wi-Fi, Mobile data","My own computer, Mobile Phone / Table",Yangon Technological University ,Undergraduate Student,1.0,Data Analytics using R,2-3 hours/week,"Personal - to gain better confidence about the chosen career (data analytics)
Professional - to excel in data analytics career when ensuring strategic decision making skill in communication, business and so on.

By providing me with well-equipped and intentional learning guided from experts, this course will help me both in my personal and professional goals.","Being the passionate life long learner who commit her time in personal and professional development, I have this determination and eagerness to take the most out of the scholarship. Additionally, my recent finding indicates that my interest, passion and personality are all aligned with the data analytics career path. That brings me stronger vision of me continuing my journey with data-driven decision making and strategic thinking for career development.
Thus, this scholarship will be beneficial for me with the well-equipped resources and sharing from experts. Ultimately, I am committed to  apply what I learn from this course  back into my community development projects and career.","When I first volunteered as a facilitator , I have had struggles with public speaking. The reasons are I originally am afraid of public speaking and don't have practice before. But, I have prepared ahead of the public speaking session to make sure the clear instructions. Although the first time was not perfect, I eventually improve later that I am now comfortable in public speaking. ",I am in the beginner stage for datat analytics career. I have experience in data collection through my internships but not overall analytics tasks. I am eager to develop my skills in this analytics and leaverage my career.
mmdt2024.033,7/20/2024 15:18:12,Yes,1999,Yangon,Yangon,Myanmar,1/1/2030,Female ,Underemployed (low wage) or Intern (No salary),"Home Wi-Fi, Mobile data",My own computer,"University of Nursing, Yangon ",Graduate (Degree holder),2.0,Data Analytics using Python,more than 5 hours/week,"After the completion on this program, I would like to be a data analyst in humanitarian sector. Since I have been working in the humanitarian sector specifically in medical field, I wish to contribute my community with more precise and effective strategies and insights for improving program implementation. And more than that, I knew that data is the key in helping vulnerable communities overcome the needs and challenges. Even though I have a work right now, I am the breadwinner of the family and I’m not affordable to learn more about data analytics like Python in deep-down. That’s why I applied this program and I believe this will support me a lot to jump up my personal and professional development. I do believe that I will grab the opportunity to contribute my community to the best.","I am the right person to receive this scholarship because I have the strong passion and dream about data analysis. Transforming the data into insights and providing the suggestions and strategies based on the data is my dream job in my whole life. Whenever I managed the project implementation, I used the data protection, data management and supportive reporting to my organization. That is my commitment to the data analysis and development to the community. I have the great passion and enough dedication for this but I am needy financially to get the higher level education or professional training to jump into the data analysis field. More than that, I can commit to myself and the program team that I will try my best to become outstanding throughout the learning process if I won the scholarship because this is my dream of becoming a data analyst to help my community.","While I was working as a mobile nurse in Kyauk Taw, Rakhine State, there were restrictions to the field activities in the IDP camps. At that time, I initiated the tele-consultation process for the beneficiaries to get access to healthcare services. I proposed the design for it and the coordinator approved it. We provided 600 patients who suffered from Diabetes and Hypertension with continuous treatment and medications. That was a great relief from the complications of Diabetes and Hypertension such as stroke and deaths. That was my greatest achievement ever. ","Yes, I am a quick learner and real passionate about data analytics. I got the IELTS 6.5 and completed MEAL Dpro at KAYA which is free access. This shows my commitment to continuous learning through online."
